x,V
0.00E+00,1.170454
3.70E-03,1.073864
7.40E-03,0.959117
1.11E-02,0.864511
1.48E-02,0.775856
1.85E-02,0.7078
2.22E-02,0.64829
2.59E-02,0.597478
2.96E-02,0.553227
3.33E-02,0.514621
3.70E-02,0.483035
4.07E-02,0.452364
4.44E-02,0.424593
4.81E-02,0.398958
5.18E-02,0.377748
5.55E-02,0.356233
5.92E-02,0.336396
6.29E-02,0.318085
6.66E-02,0.302673
7.03E-02,0.286651
7.40E-02,0.272613
1.15E-01,0.223632
1.18E-01,0.223174
1.22E-01,0.222411
1.26E-01,0.221648
1.29E-01,0.22058
1.33E-01,0.219359
1.37E-01,0.217986
1.41E-01,0.216307
1.44E-01,0.214629
1.48E-01,0.212645
1.52E-01,0.210051
1.55E-01,0.207304
1.59E-01,0.204253
1.63E-01,0.201353
1.66E-01,0.197996
1.70E-01,0.194792
1.74E-01,0.19174
1.78E-01,0.188688
1.81E-01,0.185942
1.85E-01,0.18289
1.89E-01,0.179686
1.92E-01,0.176786
1.96E-01,0.173124
2.00E-01,0.170378
2.03E-01,0.168089
2.07E-01,0.165953
2.11E-01,0.164121
2.14E-01,0.161527
2.18E-01,0.158933
2.22E-01,0.155882
2.26E-01,0.15283
2.29E-01,0.149625
2.33E-01,0.147031
2.37E-01,0.145658
2.40E-01,0.144895
2.44E-01,0.144285
2.48E-01,0.143369
2.51E-01,0.142606
2.55E-01,0.141996
2.59E-01,0.141233
2.63E-01,0.140165
2.66E-01,0.139402
2.70E-01,0.139249
2.74E-01,0.138639
2.77E-01,0.138181
2.81E-01,0.137876
2.85E-01,0.137418
2.88E-01,0.137113
2.92E-01,0.137113
2.96E-01,0.13696
3.00E-01,0.136655
3.03E-01,0.136503
3.07E-01,0.13635
3.11E-01,0.136197
3.14E-01,0.136197
3.18E-01,0.136045
3.22E-01,0.13574
3.25E-01,0.135587
3.29E-01,0.135435
3.33E-01,0.135282
3.37E-01,0.135282
3.40E-01,0.135129
3.44E-01,0.134977
3.48E-01,0.134672
3.51E-01,0.134672
3.55E-01,0.134519
3.59E-01,0.134519
3.62E-01,0.134519
3.66E-01,0.134214
3.70E-01,0.134214
3.74E-01,0.134214
3.77E-01,0.134061
3.81E-01,0.133909
3.85E-01,0.133909
3.88E-01,0.133603
3.92E-01,0.133603
3.96E-01,0.133451
3.99E-01,0.133146
4.03E-01,0.133146
4.07E-01,0.132993
4.10E-01,0.13284
4.14E-01,0.132688
4.18E-01,0.132535
4.22E-01,0.13223
4.25E-01,0.13223
4.29E-01,0.132078
4.33E-01,0.131772
4.36E-01,0.13162
4.40E-01,0.131467
4.44E-01,0.131162
4.47E-01,0.131009
4.51E-01,0.130704
4.55E-01,0.130246
4.59E-01,0.129789
4.62E-01,0.129331
4.66E-01,0.129026
4.70E-01,0.128721
4.73E-01,0.127805
4.77E-01,0.127347
4.81E-01,0.126889
4.84E-01,0.125974
4.88E-01,0.124906
4.92E-01,0.123838
4.96E-01,0.122617
4.99E-01,0.121091
5.03E-01,0.119107
5.07E-01,0.116818
5.10E-01,0.114377
5.14E-01,0.110867
5.18E-01,0.107968
5.21E-01,0.105527
5.25E-01,0.103696
5.29E-01,0.102322
5.33E-01,0.102017
5.36E-01,0.102017
5.40E-01,0.101865
5.44E-01,0.101712
5.47E-01,0.101712
5.51E-01,0.101712
5.55E-01,0.101712
5.58E-01,0.101712
5.62E-01,0.101712
5.66E-01,0.101712
5.70E-01,0.101712
5.73E-01,0.101712
5.77E-01,0.101712
5.81E-01,0.101559
5.84E-01,0.101559
5.88E-01,0.101559
5.92E-01,0.101559
5.95E-01,0.101559
5.99E-01,0.101559
6.03E-01,0.101559
6.06E-01,0.101559
6.10E-01,0.101559
6.14E-01,0.101559
6.18E-01,0.101559
6.21E-01,0.101559
6.25E-01,0.101407
6.29E-01,0.101407
6.32E-01,0.101407
6.36E-01,0.101407
6.40E-01,0.101407
6.43E-01,0.101407
6.47E-01,0.101407
6.51E-01,0.101407
6.55E-01,0.101254
6.58E-01,0.101254
6.62E-01,0.101254
6.66E-01,0.101254
6.69E-01,0.101254
6.73E-01,0.101102
6.77E-01,0.101102
6.80E-01,0.101102
6.84E-01,0.101102
6.88E-01,0.101102
6.92E-01,0.100949
6.95E-01,0.100949
6.99E-01,0.100949
7.03E-01,0.100949
7.06E-01,0.100797
7.10E-01,0.100797
7.14E-01,0.100797
7.17E-01,0.100644
7.21E-01,0.100644
7.25E-01,0.100644
7.29E-01,0.100644
7.32E-01,0.100491
7.36E-01,0.100491
7.40E-01,0.100339
7.43E-01,0.100339
7.47E-01,0.100339
7.51E-01,0.100339
7.54E-01,0.100186
7.58E-01,0.100186
7.62E-01,0.100186
7.66E-01,0.100034
7.69E-01,0.100034
7.73E-01,0.099728
7.77E-01,0.099728
7.80E-01,0.099728
7.84E-01,0.099728
7.88E-01,0.099728
7.91E-01,0.099576
7.95E-01,0.099423
7.99E-01,0.099423
8.02E-01,0.099118
8.06E-01,0.099118
8.10E-01,0.099118
8.14E-01,0.098813
8.17E-01,0.09866
8.21E-01,0.098508
8.25E-01,0.098355
8.28E-01,0.098202
8.32E-01,0.097897
8.36E-01,0.097745
8.39E-01,0.097592
8.43E-01,0.097287
8.47E-01,0.096982
8.51E-01,0.096677
8.54E-01,0.096371
8.58E-01,0.095761
8.62E-01,0.095456
8.65E-01,0.094846
8.69E-01,0.094693
8.73E-01,0.094235
8.76E-01,0.093625
8.80E-01,0.093014
8.84E-01,0.092404
8.88E-01,0.091794
8.91E-01,0.090878
8.95E-01,0.089963
8.99E-01,0.089047
9.02E-01,0.088437
9.06E-01,0.087063
9.10E-01,0.085995
9.13E-01,0.084469
9.17E-01,0.083249
9.21E-01,0.081723
9.25E-01,0.079892
9.28E-01,0.077908
9.32E-01,0.076229
9.36E-01,0.073788
9.39E-01,0.071499
9.43E-01,0.0686
9.47E-01,0.066006
9.50E-01,0.062649
9.54E-01,0.059139
9.58E-01,0.055172
9.62E-01,0.051205
9.65E-01,0.046932
9.69E-01,0.042049
9.73E-01,0.037014
9.76E-01,0.031673
9.80E-01,0.02679
